	AT	Balt	BE	DE	DK	Es	Fr	NL	No	Se	Uk
t7229	0.17	0.17	0.18	0.17	0.17	0.18	0.19	0.21	0.23	0.25	0.26
t7230	0.28	0.28	0.29	0.28	0.29	0.29	0.29	0.29	0.30	0.30	0.33
t7231	0.34	0.33	0.35	0.35	0.35	0.36	0.36	0.36	0.35	0.33	0.33
t7232	0.33	0.33	0.31	0.30	0.27	0.20	0.19	0.17	0.16	0.16	0.16
t7233	0.17	0.21	0.25	0.26	0.31	0.30	0.29	0.28	0.28	0.27	0.27
t7234	0.27	0.29	0.30	0.30	0.32	0.33	0.32	0.30	0.30	0.31	0.32
t7235	0.33	0.32	0.30	0.32	0.32	0.32	0.30	0.29	0.27	0.27	0.26
t7236	0.25	0.24	0.24	0.24	0.25	0.24	0.22	0.16	0.13	0.13	0.13
t7237	0.13	0.12	0.12	0.12	0.13	0.15	0.15	0.15	0.14	0.12	0.13
t7238	0.13	0.13	0.13	0.12	0.12	0.13	0.13	0.12	0.10	0.06	0.04
t7239	0.03	0.04	0.04	0.04	0.04	0.05	0.07	0.10	0.13	0.15	0.16
t7240	0.17	0.16	0.19	0.20	0.22	0.23	0.25	0.26	0.26	0.26	0.26
t7241	0.26	0.31	0.33	0.34	0.36	0.34	0.33	0.29	0.26	0.26	0.26
t7242	0.24	0.22	0.21	0.22	0.20	0.20	0.20	0.20	0.20	0.21	0.20
t7243	0.19	0.17	0.19	0.17	0.15	0.13	0.12	0.12	0.12	0.12	0.10
t7244	0.11	0.11	0.11	0.10	0.09	0.10	0.09	0.09	0.08	0.08	0.07
t7245	0.07	0.06	0.05	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.03
t7246	0.03	0.04	0.06	0.08	0.10	0.13	0.16	0.20	0.22	0.24	0.26
t7247	0.29	0.31	0.33	0.35	0.37	0.40	0.38	0.39	0.41	0.45	0.49
t7248	0.49	0.51	0.48	0.48	0.48	0.47	0.46	0.44	0.41	0.37	0.34
t7249	0.32	0.32	0.31	0.30	0.31	0.30	0.29	0.28	0.25	0.26	0.29
t7250	0.28	0.25	0.23	0.20	0.19	0.19	0.19	0.20	0.19	0.19	0.18
t7251	0.17	0.16	0.15	0.15	0.15	0.16	0.17	0.18	0.18	0.20	0.22
t7252	0.27	0.37	0.38	0.41	0.41	0.40	0.40	0.41	0.42	0.41	0.38
t7253	0.34	0.30	0.25	0.24	0.22	0.22	0.20	0.18	0.17	0.17	0.18
t7254	0.19	0.20	0.20	0.21	0.19	0.17	0.13	0.10	0.09	0.09	0.11
t7255	0.13	0.14	0.14	0.14	0.16	0.17	0.18	0.18	0.17	0.16	0.17
t7256	0.17	0.18	0.19	0.21	0.21	0.20	0.20	0.18	0.17	0.15	0.13
t7257	0.13	0.16	0.23	0.27	0.30	0.33	0.33	0.32	0.31	0.30	0.28
t7258	0.28	0.28	0.28	0.26	0.25	0.25	0.28	0.29	0.28	0.27	0.25
t7259	0.20	0.17	0.15	0.17	0.18	0.19	0.19	0.19	0.22	0.24	0.27
t7260	0.29	0.30	0.31	0.34	0.36	0.37	0.39	0.39	0.37	0.33	0.37
t7261	0.40	0.41	0.41	0.41	0.40	0.39	0.38	0.39	0.39	0.39	0.40
t7262	0.39	0.38	0.36	0.36	0.35	0.35	0.34	0.33	0.30	0.31	0.33
t7263	0.34	0.33	0.30	0.26	0.22	0.18	0.19	0.22	0.24	0.24	0.22
t7264	0.20	0.18	0.16	0.13	0.11	0.10	0.08	0.08	0.09	0.09	0.08
t7265	0.07	0.06	0.06	0.06	0.07	0.07	0.07	0.06	0.06	0.08	0.10
t7266	0.10	0.10	0.11	0.12	0.12	0.17	0.17	0.16	0.15	0.14	0.15
t7267	0.14	0.13	0.16	0.17	0.16	0.21	0.25	0.28	0.26	0.27	0.29
t7268	0.30	0.30	0.30	0.30	0.29	0.29	0.28	0.28	0.27	0.27	0.27
t7269	0.27	0.29	0.28	0.27	0.31	0.31	0.28	0.27	0.26	0.29	0.26
t7270	0.23	0.22	0.22	0.23	0.24	0.25	0.25	0.23	0.22	0.22	0.22
t7271	0.22	0.22	0.22	0.22	0.20	0.29	0.27	0.23	0.20	0.16	0.14
t7272	0.12	0.10	0.08	0.06	0.06	0.07	0.08	0.08	0.08	0.08	0.07
t7273	0.07	0.07	0.07	0.07	0.08	0.09	0.09	0.08	0.09	0.09	0.09
t7274	0.09	0.09	0.09	0.09	0.09	0.08	0.08	0.10	0.11	0.12	0.13
t7275	0.13	0.14	0.14	0.14	0.14	0.15	0.15	0.15	0.14	0.10	0.10
t7276	0.11	0.12	0.14	0.17	0.19	0.21	0.20	0.20	0.22	0.26	0.29
t7277	0.30	0.31	0.30	0.30	0.30	0.30	0.29	0.27	0.25	0.21	0.18
t7278	0.13	0.09	0.07	0.06	0.07	0.07	0.06	0.05	0.04	0.04	0.04
t7279	0.04	0.04	0.05	0.05	0.04	0.03	0.03	0.03	0.04	0.05	0.06
t7280	0.06	0.06	0.06	0.08	0.10	0.15	0.16	0.17	0.18	0.21	0.23
t7281	0.26	0.26	0.26	0.27	0.27	0.27	0.29	0.29	0.28	0.27	0.24
t7282	0.22	0.21	0.20	0.19	0.16	0.17	0.16	0.13	0.11	0.10	0.10
t7283	0.10	0.10	0.12	0.13	0.15	0.16	0.17	0.16	0.15	0.15	0.14
t7284	0.14	0.13	0.13	0.13	0.12	0.12	0.14	0.13	0.11	0.08	0.08
t7285	0.08	0.09	0.10	0.11	0.11	0.11	0.12	0.12	0.12	0.12	0.12
t7286	0.12	0.11	0.11	0.11	0.11	0.10	0.09	0.08	0.07	0.05	0.05
t7287	0.04	0.04	0.05	0.05	0.04	0.03	0.02	0.03	0.04	0.04	0.05
t7288	0.05	0.05	0.04	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.01
t7289	0.01	0.02	0.02	0.02	0.02	0.03	0.04	0.04	0.04	0.05	0.06
t7290	0.08	0.08	0.09	0.09	0.09	0.09	0.09	0.10	0.10	0.11	0.11
t7291	0.09	0.09	0.12	0.15	0.19	0.21	0.23	0.24	0.24	0.23	0.21
t7292	0.21	0.22	0.24	0.27	0.29	0.35	0.38	0.39	0.41	0.43	0.46
t7293	0.49	0.50	0.48	0.50	0.53	0.54	0.60	0.54	0.52	0.51	0.50
t7294	0.47	0.43	0.42	0.44	0.45	0.44	0.43	0.42	0.38	0.36	0.34
t7295	0.32	0.30	0.27	0.23	0.17	0.12	0.09	0.06	0.04	0.04	0.03
t7296	0.03	0.02	0.02	0.02	0.03	0.05	0.06	0.07	0.08	0.09	0.10
t7297	0.11	0.12	0.12	0.13	0.14	0.14	0.14	0.12	0.12	0.13	0.12
t7298	0.13	0.13	0.14	0.14	0.13	0.11	0.11	0.13	0.14	0.14	0.13
t7299	0.11	0.10	0.10	0.10	0.10	0.10	0.11	0.10	0.12	0.12	0.13
t7300	0.12	0.09	0.08	0.08	0.08	0.07	0.06	0.05	0.05	0.06	0.06
t7301	0.05	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.02
t7302	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.03
t7303	0.05	0.06	0.07	0.07	0.06	0.06	0.06	0.05	0.05	0.05	0.05
t7304	0.05	0.05	0.03	0.03	0.05	0.05	0.07	0.08	0.08	0.08	0.08
t7305	0.08	0.10	0.14	0.17	0.18	0.17	0.14	0.12	0.11	0.11	0.10
t7306	0.09	0.08	0.08	0.07	0.04	0.05	0.06	0.07	0.08	0.09	0.09
t7307	0.08	0.07	0.08	0.12	0.17	0.20	0.20	0.20	0.18	0.18	0.18
t7308	0.17	0.15	0.14	0.14	0.13	0.11	0.07	0.07	0.08	0.09	0.10
t7309	0.10	0.09	0.08	0.08	0.08	0.10	0.12	0.12	0.10	0.08	0.07
t7310	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.02	0.01	0.01	0.02
t7311	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.06	0.06	0.06
t7312	0.06	0.05	0.05	0.05	0.04	0.04	0.04	0.04	0.05	0.04	0.02
t7313	0.02	0.03	0.04	0.06	0.07	0.06	0.07	0.07	0.08	0.08	0.10
t7314	0.11	0.13	0.13	0.13	0.12	0.12	0.12	0.12	0.11	0.11	0.08
t7315	0.05	0.03	0.03	0.03	0.04	0.04	0.05	0.07	0.08	0.10	0.11
t7316	0.13	0.15	0.16	0.18	0.19	0.20	0.22	0.22	0.24	0.26	0.26
t7317	0.26	0.26	0.25	0.25	0.32	0.35	0.34	0.37	0.41	0.43	0.46
t7318	0.46	0.42	0.42	0.40	0.39	0.40	0.41	0.44	0.44	0.43	0.44
t7319	0.45	0.45	0.43	0.41	0.35	0.44	0.51	0.54	0.55	0.53	0.48
t7320	0.44	0.40	0.34	0.27	0.22	0.22	0.25	0.28	0.27	0.28	0.25
t7321	0.22	0.19	0.17	0.16	0.16	0.16	0.12	0.12	0.14	0.20	0.19
t7322	0.21	0.19	0.17	0.15	0.14	0.11	0.09	0.10	0.11	0.12	0.12
t7323	0.10	0.10	0.10	0.11	0.12	0.13	0.15	0.17	0.18	0.21	0.24
t7324	0.27	0.33	0.33	0.35	0.37	0.35	0.34	0.29	0.26	0.25	0.26
t7325	0.28	0.30	0.35	0.34	0.33	0.32	0.32	0.33	0.32	0.29	0.25
t7326	0.30	0.31	0.32	0.33	0.31	0.31	0.31	0.29	0.25	0.18	0.14
t7327	0.13	0.13	0.13	0.12	0.12	0.12	0.11	0.12	0.12	0.13	0.15
t7328	0.16	0.17	0.15	0.18	0.23	0.29	0.33	0.37	0.39	0.39	0.41
t7329	0.43	0.48	0.49	0.51	0.51	0.50	0.52	0.50	0.48	0.46	0.44
t7330	0.43	0.41	0.37	0.31	0.23	0.20	0.20	0.19	0.22	0.26	0.25
t7331	0.24	0.24	0.30	0.33	0.30	0.27	0.26	0.24	0.20	0.20	0.20
t7332	0.21	0.21	0.21	0.21	0.21	0.22	0.21	0.19	0.20	0.23	0.24
t7333	0.24	0.24	0.25	0.25	0.25	0.23	0.24	0.27	0.30	0.33	0.37
t7334	0.40	0.43	0.44	0.44	0.44	0.41	0.37	0.34	0.30	0.28	0.28
t7335	0.27	0.30	0.33	0.35	0.37	0.35	0.29	0.24	0.22	0.21	0.21
t7336	0.21	0.20	0.20	0.18	0.19	0.18	0.18	0.18	0.17	0.13	0.17
t7337	0.18	0.18	0.21	0.18	0.16	0.16	0.15	0.15	0.13	0.11	0.11
t7338	0.13	0.15	0.16	0.17	0.17	0.17	0.18	0.18	0.18	0.17	0.14
t7339	0.11	0.10	0.10	0.10	0.09	0.09	0.09	0.09	0.07	0.07	0.05
t7340	0.05	0.06	0.07	0.08	0.08	0.08	0.08	0.09	0.10	0.10	0.11
t7341	0.11	0.11	0.09	0.07	0.07	0.07	0.06	0.07	0.07	0.07	0.07
t7342	0.07	0.07	0.08	0.10	0.12	0.13	0.13	0.12	0.12	0.11	0.10
t7343	0.10	0.10	0.10	0.09	0.07	0.06	0.06	0.07	0.07	0.07	0.07
t7344	0.07	0.07	0.07	0.08	0.10	0.13	0.16	0.17	0.17	0.17	0.16
t7345	0.15	0.14	0.15	0.17	0.18	0.16	0.12	0.11	0.12	0.13	0.13
t7346	0.14	0.15	0.16	0.16	0.16	0.16	0.17	0.18	0.20	0.20	0.20
t7347	0.21	0.22	0.22	0.21	0.21	0.21	0.21	0.20	0.16	0.14	0.14
t7348	0.14	0.13	0.14	0.15	0.16	0.16	0.16	0.16	0.19	0.20	0.22
t7349	0.23	0.22	0.19	0.18	0.18	0.17	0.17	0.17	0.16	0.14	0.10
t7350	0.08	0.08	0.09	0.08	0.11	0.12	0.13	0.13	0.14	0.13	0.16
t7351	0.18	0.20	0.20	0.19	0.20	0.20	0.20	0.20	0.19	0.18	0.18
t7352	0.17	0.13	0.11	0.10	0.12	0.16	0.20	0.22	0.23	0.24	0.24
t7353	0.24	0.24	0.24	0.25	0.25	0.25	0.24	0.24	0.24	0.23	0.23
t7354	0.22	0.19	0.17	0.15	0.17	0.20	0.24	0.23	0.26	0.29	0.30
t7355	0.31	0.30	0.26	0.22	0.21	0.19	0.18	0.17	0.17	0.16	0.15
t7356	0.13	0.11	0.09	0.07	0.06	0.06	0.06	0.06	0.07	0.09	0.09
t7357	0.09	0.09	0.09	0.08	0.07	0.08	0.09	0.09	0.10	0.11	0.12
t7358	0.12	0.12	0.12	0.13	0.15	0.16	0.18	0.18	0.17	0.17	0.16
t7359	0.14	0.13	0.12	0.11	0.10	0.09	0.08	0.08	0.08	0.09	0.11
t7360	0.12	0.13	0.14	0.15	0.15	0.14	0.13	0.12	0.10	0.08	0.09
t7361	0.11	0.12	0.14	0.16	0.16	0.14	0.13	0.10	0.08	0.07	0.08
t7362	0.11	0.12	0.11	0.09	0.08	0.07	0.06	0.05	0.05	0.04	0.03
t7363	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.02	0.03	0.03	0.04
t7364	0.04	0.05	0.06	0.07	0.07	0.07	0.08	0.08	0.08	0.09	0.10
t7365	0.10	0.09	0.08	0.08	0.08	0.08	0.06	0.07	0.07	0.07	0.06
t7366	0.06	0.06	0.07	0.10	0.12	0.13	0.12	0.10	0.09	0.08	0.07
t7367	0.06	0.06	0.05	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.03
t7368	0.03	0.03	0.04	0.04	0.05	0.06	0.08	0.09	0.09	0.10	0.10
t7369	0.11	0.12	0.13	0.14	0.12	0.09	0.07	0.05	0.05	0.04	0.04
t7370	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.05	0.06	0.07	0.07
t7371	0.07	0.06	0.05	0.04	0.04	0.03	0.02	0.02	0.01	0.01	0.01
t7372	0.02	0.03	0.03	0.04	0.05	0.05	0.05	0.05	0.05	0.05	0.05
t7373	0.05	0.05	0.04	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.04
t7374	0.04	0.05	0.08	0.11	0.13	0.15	0.17	0.18	0.19	0.20	0.22
t7375	0.25	0.26	0.26	0.26	0.24	0.24	0.25	0.25	0.25	0.26	0.28
t7376	0.33	0.36	0.38	0.39	0.39	0.42	0.42	0.45	0.45	0.45	0.45
t7377	0.44	0.42	0.39	0.38	0.37	0.36	0.40	0.39	0.36	0.35	0.34
t7378	0.34	0.33	0.32	0.30	0.29	0.27	0.24	0.21	0.19	0.18	0.17
t7379	0.17	0.18	0.20	0.18	0.17	0.16	0.17	0.19	0.21	0.21	0.20
t7380	0.19	0.19	0.18	0.17	0.16	0.17	0.16	0.14	0.12	0.08	0.08
t7381	0.08	0.07	0.07	0.08	0.09	0.09	0.10	0.10	0.12	0.14	0.12
t7382	0.13	0.13	0.14	0.13	0.13	0.12	0.10	0.10	0.09	0.08	0.07
t7383	0.05	0.04	0.05	0.05	0.06	0.06	0.07	0.06	0.06	0.07	0.07
t7384	0.06	0.06	0.06	0.06	0.06	0.06	0.05	0.05	0.04	0.04	0.05
t7385	0.06	0.07	0.08	0.09	0.10	0.11	0.11	0.11	0.10	0.09	0.08
t7386	0.08	0.08	0.09	0.08	0.09	0.10	0.10	0.10	0.10	0.08	0.06
t7387	0.06	0.06	0.07	0.07	0.05	0.05	0.05	0.05	0.05	0.06	0.05
t7388	0.05	0.05	0.06	0.07	0.08	0.07	0.07	0.07	0.08	0.08	0.09
t7389	0.09	0.08	0.07	0.09	0.11	0.15	0.19	0.22	0.25	0.28	0.32
t7390	0.32	0.33	0.36	0.38	0.40	0.41	0.41	0.36	0.35	0.33	0.31
t7391	0.31	0.30	0.32	0.35	0.35	0.33	0.32	0.31	0.29	0.30	0.30
t7392	0.30	0.30	0.29	0.26	0.22	0.17	0.16	0.15	0.14	0.14	0.14
t7393	0.15	0.16	0.16	0.17	0.21	0.22	0.23	0.24	0.24	0.23	0.17
t7394	0.13	0.10	0.08	0.07	0.07	0.06	0.06	0.06	0.06	0.05	0.06
t7395	0.06	0.06	0.07	0.06	0.06	0.05	0.05	0.05	0.05	0.05	0.04
t7396	0.04	0.03	0.03	0.04	0.04	0.05	0.05	0.04	0.04	0.04	0.04
t7397	0.04	0.04	0.05	0.05	0.18	0.17	0.16	0.14	0.14	0.17	0.19
t7398	0.19	0.20	0.20	0.20	0.21	0.22	0.23	0.23	0.24	0.24	0.23
t7399	0.19	0.18	0.16	0.14	0.14	0.13	0.12	0.11	0.10	0.09	0.07
t7400	0.04	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
t7401	0.02	0.03	0.04	0.06	0.08	0.09	0.09	0.09	0.09	0.09	0.09
t7402	0.09	0.07	0.06	0.04	0.04	0.05	0.05	0.06	0.07	0.08	0.07
t7403	0.08	0.08	0.08	0.09	0.10	0.12	0.14	0.15	0.16	0.15	0.15
t7404	0.14	0.14	0.13	0.11	0.10	0.07	0.07	0.07	0.08	0.09	0.11
t7405	0.11	0.12	0.11	0.11	0.11	0.11	0.13	0.16	0.18	0.19	0.20
t7406	0.18	0.18	0.16	0.15	0.13	0.10	0.08	0.06	0.05	0.05	0.06
t7407	0.06	0.07	0.08	0.09	0.08	0.08	0.08	0.08	0.10	0.12	0.14
t7408	0.16	0.16	0.17	0.16	0.15	0.13	0.11	0.11	0.12	0.13	0.14
t7409	0.17	0.21	0.22	0.25	0.29	0.30	0.30	0.29	0.29	0.26	0.24
t7410	0.24	0.24	0.25	0.26	0.25	0.24	0.25	0.26	0.25	0.24	0.25
t7411	0.25	0.25	0.26	0.25	0.27	0.27	0.27	0.26	0.24	0.22	0.20
t7412	0.16	0.13	0.12	0.13	0.13	0.13	0.13	0.12	0.11	0.11	0.11
t7413	0.11	0.13	0.12	0.12	0.13	0.13	0.12	0.13	0.15	0.16	0.16
t7414	0.15	0.13	0.10	0.09	0.09	0.10	0.11	0.12	0.11	0.11	0.10
t7415	0.09	0.09	0.08	0.07	0.07	0.07	0.06	0.06	0.06	0.06	0.06
t7416	0.06	0.06	0.06	0.07	0.07	0.09	0.10	0.11	0.16	0.15	0.17
t7417	0.20	0.23	0.26	0.27	0.29	0.32	0.36	0.38	0.39	0.39	0.39
t7418	0.41	0.41	0.43	0.45	0.46	0.42	0.38	0.34	0.31	0.28	0.27
t7419	0.27	0.27	0.25	0.24	0.22	0.19	0.16	0.13	0.13	0.10	0.09
t7420	0.08	0.08	0.07	0.06	0.06	0.05	0.05	0.05	0.05	0.05	0.05
t7421	0.06	0.06	0.07	0.06	0.06	0.06	0.06	0.07	0.06	0.06	0.07
t7422	0.10	0.10	0.10	0.09	0.11	0.13	0.16	0.17	0.17	0.17	0.17
t7423	0.17	0.19	0.20	0.21	0.22	0.20	0.20	0.20	0.19	0.19	0.18
t7424	0.18	0.18	0.18	0.18	0.19	0.19	0.21	0.21	0.22	0.23	0.23
t7425	0.22	0.21	0.19	0.18	0.18	0.20	0.24	0.25	0.25	0.25	0.25
t7426	0.26	0.26	0.30	0.33	0.31	0.31	0.29	0.24	0.24	0.23	0.22
t7427	0.23	0.23	0.21	0.18	0.17	0.17	0.17	0.17	0.20	0.18	0.18
t7428	0.17	0.17	0.16	0.16	0.16	0.16	0.17	0.17	0.17	0.15	0.14
t7429	0.15	0.15	0.15	0.14	0.14	0.13	0.10	0.08	0.08	0.08	0.10
t7430	0.10	0.10	0.10	0.09	0.08	0.07	0.06	0.05	0.04	0.05	0.05
t7431	0.04	0.04	0.05	0.06	0.07	0.08	0.09	0.08	0.07	0.06	0.06
t7432	0.06	0.07	0.08	0.08	0.09	0.09	0.09	0.08	0.07	0.06	0.06
t7433	0.06	0.06	0.06	0.06	0.07	0.07	0.07	0.07	0.07	0.06	0.05
t7434	0.05	0.05	0.05	0.06	0.06	0.07	0.07	0.06	0.05	0.03	0.02
t7435	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.03	0.03
t7436	0.03	0.04	0.06	0.08	0.10	0.12	0.11	0.10	0.09	0.09	0.09
t7437	0.09	0.07	0.06	0.06	0.07	0.08	0.07	0.08	0.08	0.08	0.09
t7438	0.09	0.10	0.10	0.11	0.14	0.17	0.19	0.18	0.19	0.20	0.21
t7439	0.21	0.22	0.22	0.23	0.25	0.28	0.31	0.36	0.33	0.36	0.38
t7440	0.41	0.42	0.43	0.42	0.41	0.40	0.40	0.37	0.36	0.34	0.31
t7441	0.29	0.29	0.31	0.31	0.33	0.34	0.35	0.36	0.37	0.38	0.39
t7442	0.39	0.39	0.38	0.36	0.34	0.31	0.30	0.31	0.30	0.30	0.29
t7443	0.29	0.28	0.26	0.25	0.24	0.22	0.20	0.18	0.16	0.14	0.13
t7444	0.13	0.13	0.12	0.13	0.13	0.12	0.12	0.11	0.09	0.08	0.08
t7445	0.08	0.08	0.09	0.10	0.10	0.09	0.09	0.07	0.05	0.04	0.04
t7446	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.03	0.02
t7447	0.02	0.02	0.02	0.02	0.03	0.03	0.02	0.02	0.02	0.02	0.02
t7448	0.02	0.02	0.03	0.04	0.06	0.07	0.09	0.10	0.11	0.12	0.14
t7449	0.17	0.19	0.22	0.25	0.26	0.24	0.21	0.20	0.20	0.21	0.22
t7450	0.21	0.21	0.21	0.22	0.23	0.23	0.23	0.21	0.21	0.20	0.20
t7451	0.19	0.17	0.17	0.16	0.17	0.18	0.18	0.19	0.18	0.18	0.18
t7452	0.18	0.18	0.18	0.17	0.16	0.15	0.11	0.08	0.07	0.07	0.07
t7453	0.06	0.06	0.07	0.07	0.06	0.05	0.05	0.06	0.08	0.09	0.09
t7454	0.10	0.10	0.10	0.10	0.09	0.08	0.05	0.04	0.03	0.03	0.03
t7455	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03
t7456	0.04	0.04	0.05	0.05	0.05	0.05	0.05	0.05	0.03	0.02	0.02
t7457	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.04
t7458	0.05	0.05	0.05	0.06	0.07	0.07	0.07	0.07	0.06	0.05	0.04
t7459	0.03	0.03	0.04	0.04	0.04	0.05	0.05	0.05	0.05	0.05	0.05
t7460	0.04	0.04	0.04	0.05	0.05	0.06	0.08	0.09	0.11	0.12	0.12
t7461	0.13	0.13	0.14	0.14	0.14	0.13	0.11	0.11	0.11	0.11	0.11
t7462	0.11	0.10	0.09	0.08	0.08	0.08	0.08	0.08	0.08	0.28	0.27
t7463	0.26	0.23	0.19	0.20	0.19	0.19	0.18	0.16	0.14	0.14	0.13
t7464	0.14	0.15	0.15	0.12	0.09	0.08	0.08	0.08	0.08	0.08	0.08
t7465	0.07	0.07	0.06	0.06	0.06	0.05	0.04	0.05	0.05	0.06	0.07
t7466	0.08	0.08	0.09	0.09	0.09	0.08	0.07	0.08	0.08	0.10	0.11
t7467	0.11	0.12	0.12	0.13	0.13	0.13	0.12	0.09	0.07	0.07	0.07
t7468	0.08	0.08	0.09	0.10	0.11	0.11	0.11	0.10	0.08	0.08	0.08
t7469	0.10	0.11	0.12	0.12	0.12	0.14	0.16	0.18	0.18	0.17	0.17
t7470	0.19	0.22	0.25	0.27	0.26	0.26	0.26	0.26	0.25	0.24	0.22
t7471	0.18	0.15	0.14	0.15	0.16	0.17	0.17	0.15	0.14	0.11	0.09
t7472	0.08	0.07	0.07	0.08	0.09	0.11	0.12	0.11	0.10	0.11	0.11
t7473	0.11	0.10	0.09	0.08	0.08	0.07	0.09	0.11	0.13	0.15	0.16
t7474	0.16	0.17	0.17	0.18	0.18	0.19	0.19	0.17	0.18	0.17	0.17
t7475	0.18	0.17	0.16	0.14	0.11	0.09	0.09	0.10	0.11	0.12	0.14
t7476	0.15	0.15	0.14	0.12	0.11	0.09	0.08	0.07	0.06	0.05	0.05
t7477	0.06	0.06	0.06	0.06	0.06	0.06	0.05	0.06	0.07	0.08	0.08
t7478	0.08	0.08	0.08	0.08	0.07	0.06	0.04	0.03	0.02	0.02	0.02
t7479	0.03	0.03	0.04	0.04	0.04	0.05	0.04	0.03	0.03	0.03	0.04
t7480	0.05	0.06	0.06	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.04
t7481	0.04	0.05	0.06	0.07	0.08	0.07	0.07	0.06	0.06	0.07	0.06
t7482	0.06	0.08	0.08	0.09	0.10	0.09	0.09	0.09	0.08	0.08	0.08
t7483	0.07	0.06	0.05	0.05	0.08	0.09	0.11	0.12	0.14	0.16	0.16
t7484	0.15	0.13	0.12	0.12	0.11	0.12	0.12	0.12	0.12	0.12	0.11
t7485	0.11	0.10	0.11	0.12	0.12	0.12	0.12	0.12	0.12	0.11	0.11
t7486	0.11	0.11	0.11	0.11	0.10	0.10	0.11	0.11	0.10	0.10	0.09
t7487	0.10	0.10	0.09	0.09	0.10	0.10	0.10	0.09	0.08	0.09	0.10
t7488	0.10	0.10	0.09	0.08	0.06	0.06	0.06	0.07	0.07	0.07	0.06
t7489	0.05	0.04	0.04	0.04	0.04	0.03	0.02	0.02	0.02	0.03	0.03
t7490	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.04	0.05
t7491	0.05	0.05	0.06	0.07	0.09	0.11	0.13	0.14	0.14	0.15	0.18
t7492	0.23	0.25	0.26	0.27	0.28	0.29	0.30	0.30	0.29	0.30	0.31
t7493	0.31	0.31	0.27	0.26	0.27	0.27	0.28	0.28	0.29	0.30	0.31
t7494	0.33	0.35	0.37	0.39	0.38	0.37	0.36	0.35	0.33	0.29	0.27
t7495	0.27	0.26	0.25	0.23	0.18	0.15	0.14	0.12	0.11	0.10	0.11
t7496	0.11	0.10	0.10	0.09	0.08	0.06	0.06	0.05	0.05	0.04	0.04
t7497	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02
t7498	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02
t7499	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.04	0.04	0.04
t7500	0.04	0.04	0.04	0.04	0.03	0.02	0.02	0.02	0.02	0.02	0.02
t7501	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.04	0.04	0.04
t7502	0.04	0.04	0.05	0.05	0.05	0.05	0.04	0.03	0.04	0.04	0.04
t7503	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.05	0.05	0.05	0.05
t7504	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.04	0.04	0.04
t7505	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.03
t7506	0.03	0.03	0.04	0.05	0.05	0.05	0.04	0.04	0.04	0.04	0.04
t7507	0.03	0.03	0.03	0.04	0.05	0.05	0.05	0.04	0.03	0.03	0.03
t7508	0.02	0.03	0.03	0.04	0.04	0.04	0.04	0.03	0.02	0.02	0.02
t7509	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.03	0.04
t7510	0.05	0.05	0.06	0.08	0.10	0.13	0.16	0.19	0.21	0.23	0.25
t7511	0.29	0.31	0.33	0.34	0.34	0.33	0.33	0.32	0.30	0.31	0.31
t7512	0.31	0.31	0.29	0.26	0.24	0.23	0.22	0.22	0.22	0.19	0.17
t7513	0.16	0.16	0.16	0.15	0.14	0.13	0.12	0.12	0.12	0.12	0.14
t7514	0.14	0.14	0.13	0.13	0.12	0.11	0.11	0.11	0.12	0.13	0.14
t7515	0.13	0.13	0.14	0.15	0.16	0.15	0.14	0.12	0.12	0.13	0.13
t7516	0.13	0.12	0.13	0.13	0.14	0.14	0.15	0.15	0.13	0.12	0.14
t7517	0.15	0.16	0.19	0.19	0.19	0.20	0.20	0.21	0.21	0.23	0.26
t7518	0.28	0.28	0.29	0.29	0.30	0.28	0.27	0.26	0.25	0.22	0.17
